Serial No,Type,District,Area,Dealer name,Mobile No,Address,NaPanta Mobile App
1,Seed Dealers,Lucknow,Malihabad,ANUJ KEETNASHAK KENDRA,,THANA MAL,For Free Alerts
2,Seed Dealers,Lucknow,Malihabad,GUPTA BEEJ BHANDAR,,KAKORI,For Free Alerts
3,Seed Dealers,Lucknow,Malihabad,KAMLASHANKER SHUKLA BEEJ BHANDAR,,GHDNO MAL,For Free Alerts
4,Seed Dealers,Lucknow,Malihabad,KUMAR BEEJ BHANDAR,,KAKORI,For Free Alerts
5,Seed Dealers,Lucknow,Malihabad,LALTA PRSAD VASH & SUNS,,KAKORI MODH,For Free Alerts
6,Seed Dealers,Lucknow,Malihabad,Ms. P.C.F. KENDRA,,DULARMAU,For Free Alerts
7,Seed Dealers,Lucknow,Malihabad,Ms. P.C.F. KENDRA,,MALIHABAD,For Free Alerts
8,Seed Dealers,Lucknow,Malihabad,P.C.F,,DULAR MAU,For Free Alerts
9,Seed Dealers,Lucknow,Malihabad,PHSAL SURKHA KANDRA,,KHUSHAL PURVA,For Free Alerts
10,Seed Dealers,Lucknow,Malihabad,SAHU BEEJ BHANDAR,,EBRAHIM GANJ,For Free Alerts
11,Seed Dealers,Lucknow,Malihabad,STAR SEED COMPANY,,MIRZA GANJ MALIHAGANJ,For Free Alerts
12,Seed Dealers,Lucknow,Malihabad,STAR SEED COMPANY,,MIRZA GANJ MALIHAGANJ,For Free Alerts
